zip_file,size_bytes,sha256
source.zip,128194323,ecc6f117b9be862d86dabbc6bf98f57ed869dbf46069a8c16ce418d967b7c741
result.zip,49887933,ff17c6c5eddf893c431558553a8ddf23bf4fef8d3d5cd454e2c19b2f1b7cde75
code.zip,443696,5721d1ba84d547031eb1ae058d5b8dce0b3359eebf63f1da9a5e26a5c91358b6
paper_output.zip,100699,4211658a5b1699371bce97ac23a125a4a54e4ab7da0f87fe9c272f2d3bec9112
final_deliverable.zip,40433993,18de8839af29ea80f1df995f64be5c5a976b29d86b507724d8f985e54e928a96
final_deliverable_clean.zip,40436993,f6483c6be0fa3ea59d09fe3caa99902d096b269ba9eb2425bbe035c20d96a04a
final_deliverable_with_news.zip,11707060,b99c06ebe2fdc2dbf73c4c4d576014e41dd2654339abc4693f077803230ece62
