document_id,ticker,company_name,title,source_name,publish_date,url,text_length,alias_hits,strong_alias_hits,medium_alias_hits,weak_alias_hits,relevance_status,relevance_reason,include_flag,exclude_reason,confidence_tier,main_model_include_flag,broad_include_flag,strict_company_focus_flag,high_confidence_include_flag,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,raw_article_hash,raw_row_key,filter_mode,filter_version,original_file,original_file_hash
NEWS_CANDIDATE_002737_9fa30d57,APOLLO,Apollo,"Apollo boosting hybrid credit, equity business",The Star,2024-12-12,https://www.thestar.com.my/business/business-news/2024/12/12/apollo-boosting-hybrid-credit-equity-business,3714,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,563e950b99c94a192529d678ba03edb3b0c0776d3295518b9a8251404fea058d,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 109}:5345af34a1d7",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002760_8e32549b,APOLLO,Apollo,"Apollo eyes $5 billion investment in Intel, Bloomberg News reports",The Star,2024-09-23,https://www.thestar.com.my/tech/tech-news/2024/09/23/apollo-eyes-5-billion-investment-in-intel-bloomberg-news-reports,1751,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,c2b92454493527491193ec7554479ee39e45dd01dcb7d5b0ff45787219cab6b7,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 132}:4a34168b63f5",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002766_70169413,APOLLO,Apollo,Gold Apollo says it did not make pagers used in Lebanon explosion,The Star,2024-09-18,https://www.thestar.com.my/news/world/2024/09/18/gold-apollo-says-it-did-not-make-pagers-used-in-lebanon-explosion,657,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,2266258f4a4c6e49750f0c4eb894fdb4afed05f23741466435f0ebe576c2f895,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 138}:9be4e55c4118",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002772_d2137f7e,APOLLO,Apollo,Factbox-Key charges against Philippines' 'Appointed Son of God' Apollo Quiboloy,The Star,2024-09-11,https://www.thestar.com.my/news/world/2024/09/11/factbox-key-charges-against-philippines039-039appointed-son-of-god039-apollo-quiboloy,2436,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,bb7d0803c5bb39111a227cc1f2ce177d4456332cdb028da09ec5b199ea576767,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 144}:3162846559bb",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002786_ae0c4329,APOLLO,Apollo,Encounter with Apollo,The Star,2024-08-06,https://www.thestar.com.my/food/food-news/2024/08/06/encounter-with-apollo,3072,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,e92bd29c0a91cf33b4f162ba22c80a975458c9d7185c92f1e148f89f6432301f,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 158}:934cffd3bf59",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002801_44a72bd0,APOLLO,Apollo,"Exclusive-Apollo, Kyndryl in bid for DXC Technology, sources say",The Star,2024-06-11,https://www.thestar.com.my/tech/tech-news/2024/06/11/exclusive-apollo-kyndryl-in-bid-for-dxc-technology-sources-say,1978,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,182b138d453e94bf5e4438ca503fb9ca24ff92cd057a3402c42b0f00f85e7dbf,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 173}:365188945b5e",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002804_52f76086,APOLLO,Apollo,Apollo buys 49% of Irish Intel factory,The Star,2024-06-06,https://www.thestar.com.my/business/business-news/2024/06/06/apollo-buys-49-of-irish-intel-factory,1131,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,f019af6a8e6061f7ffceb7cfc56e758c153c4eb86097fcf9322d8b9f1173161f,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 176}:8755280451c4",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002808_38239b49,APOLLO,Apollo,Apollo Global to provide $11 billion to Intel for Ireland facility,The Star,2024-06-05,https://www.thestar.com.my/tech/tech-news/2024/06/05/intel-and-apollo-agree-on-jv-related-to-intel039s-manufacturing-facility-in-ireland,1363,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,3f9d8a058173603d2e1d5d940851e2646f3c1464d423e973eff84e4b299e99ad,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 180}:21f0a80c65fd",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002817_7acd900d,APOLLO,Apollo,"Intel nears $11 billion deal with Apollo for Ireland factory, WSJ reports",The Star,2024-05-13,https://www.thestar.com.my/tech/tech-news/2024/05/13/intel-nears-deal-with-apollo-for-11-billion-ireland-partnership-wsj-reports,1287,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,9905d80cd922097ac13533682cc46cbac1af8a7caee62ab28f5d67e177119135,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 189}:f5147ca74f06",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002819_d05de2eb,APOLLO,Apollo,Apollo accused of illegal life policy scheme,The Star,2024-05-01,https://www.thestar.com.my/business/business-news/2024/05/01/apollo-accused-of-illegal-life-policy-scheme,1357,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,deaa78b41f5650acc5eefc0e21bd7cb4fe9afad4f7acdf3d49869f95aec2b4ca,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 191}:8307a1c9678e",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
