document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_0212_SDS_2021,REMOVED_001,Unknown,L112,consumer base. ANNUAL REPORT 2021,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2021,REMOVED_002,Unknown,L221,ANNUAL REPORT 2021,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2021,REMOVED_003,Unknown,L346,and quality of the manufacturing process. ANNUAL REPORT 2021,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2021,REMOVED_004,Unknown,L487,pandemic period. Thank you. ANNUAL REPORT 2021,,remove_header_footer,1,header_footer,medium
MDA_0212_SDS_2021,MDA_P001,Unknown,B001,"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS Dear valued shareholders, it is with great pleasure that we present to you the Annual Report and Audited Financial Statements of SDS Group Berhad (“SDS Group” or the “Group”) for the financial year ended 31 March 2021 (“FY2021”). OVERVIEW OF THE GROUP’S ","[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS Dear valued shareholders, it is with great pleasure that we present to you the Annual Report and Audited Financial Statements of SDS Group Berhad (“SDS Group” or the “Group”) for the financial year ended 31 March 2021 (“FY2021”). OVERVIEW OF THE GROUP’S BUSINESS Business Venture and Journey SDS Group has embarked on its business as a manufacturer and retailer of bakery products in 1984. SDS Group continues to develop varieties of new creative products to build customers’ excitement and interest in its products in the market till today. The Group strives to enrich and satisfy customers’ needs and preferences through its high-quality products at a reasonable price. It was an astonishing achievement and business journey for SDS Group as it started its home-grown business in Johor region with three subsidiary brands namely, retail brand, ‘SDS’, and wholesale brands, ‘Top Baker’ and ‘Daily’s’. Throughout the years, SDS Group has grown rapidly through business expansion of its manufacturing and distribution facilities, and retail outlets in the Food and Beverages (F&B) industry.",normalize_whitespace;renumber_paragraph,0,,high
MDA_0212_SDS_2021,MDA_P002,Unknown,B002,"[MDA_P002] Thereafter, the Group has successfully listed on the ACE Market of Bursa Malaysia Securities Berhad on 7 October 2019. The Group provides an exceptional in-store experience by offering bakery and confectionary products which are mostly sold in a ‘grab-and-go’ manner and a wide variety of ","[MDA_P002] Thereafter, the Group has successfully listed on the ACE Market of Bursa Malaysia Securities Berhad on 7 October 2019. The Group provides an exceptional in-store experience by offering bakery and confectionary products which are mostly sold in a ‘grab-and-go’ manner and a wide variety of F&B choices ranging from international cuisines such as western and Japanese food to local cuisine. In addition, SDS Group also offers festive cookies, hampers, mooncakes, baby full-month and wedding gift set to cater to customers’ needs and preferences during the festive seasons. The Group’s venture into the wholesale trade of bakery products further enables it to reach out to its customers through a wider sales channel such as convenience stores and hypermarkets. Today, the Group strives to remain buoyant in its competitive market especially during this pandemic period. The Group aims to expand its geographical footprint particularly in the Central and Northern Region of Peninsular Malaysia. Being one of the market leaders in the F&B industry, the Group continues to develop business strategies to market its products and expand its operation and presence throughout the Country and overseas.",normalize_whitespace;renumber_paragraph,0,,high
MDA_0212_SDS_2021,MDA_P003,Unknown,B003,[MDA_P003] SDS GROUP BERHAD,[MDA_P003] SDS GROUP BERHAD,normalize_whitespace;renumber_paragraph,0,,high
MDA_0212_SDS_2021,MDA_P004,Unknown,B004,[MDA_P004] MANAGEMENT DISCUSSION AND ANALYSIS OUR STRATEGIES FOR MARKET AND PRODUCT Retail Channel The Group has taken proactive steps and actions through various forms of initiatives and strategies to create sustainable growth and long-term shareholders’ value in its business. After months of lockd,"[MDA_P004] MANAGEMENT DISCUSSION AND ANALYSIS OUR STRATEGIES FOR MARKET AND PRODUCT Retail Channel The Group has taken proactive steps and actions through various forms of initiatives and strategies to create sustainable growth and long-term shareholders’ value in its business. After months of lockdown as a result of the COVID-19 outbreak, consumers’ preferences and behaviours have changed to adapt to the new way of living during this pandemic. With working-fromhome arrangement becoming a norm and stay-at-home becoming a new trend, there is an increased spending for online food delivery services. As such, the Group has collaborated with more external established food delivery service providers to continue bringing its products to customers despite the restriction in movement. The Group has also established its own ordering hotline services to facilitate pre-ordering, collection at its outlets or delivery services. During the financial year, the Group has begun selling its festive products in thirdparty online platforms noting a shift of focus to online ordering and purchases among consumers.",normalize_whitespace;renumber_paragraph,0,,high
MDA_0212_SDS_2021,MDA_P005,Unknown,B005,"[MDA_P005] With the rising trend of contactless payment to reduce the risk of transmission of COVID-19 through physical interaction, the Group has enhanced its very own SDS mobile application to include E-wallet feature. This E-wallet feature allows consumers to complete their transactions using con","[MDA_P005] With the rising trend of contactless payment to reduce the risk of transmission of COVID-19 through physical interaction, the Group has enhanced its very own SDS mobile application to include E-wallet feature. This E-wallet feature allows consumers to complete their transactions using contactless payments at any of its outlets. The Group continues to offer innovative solutions to provide greater consumer convenience and addressing the ever-changing consumers’ preferences. The Group has expanded its business operations beyond Johor Bahru to the Central Region of Peninsula Malaysia during the financial year. Despite the COVID-19 pandemic, the Group continues to explore opportunities for growth and has successfully set up two new outlets at Nilai, Negeri Sembilan and Bangi, Selangor. Wholesale Channel The Group has launched a series of new products such as banana slice cakes, pandan chiffon cake and danish bread with chocolate chips during the financial year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_0212_SDS_2021,MDA_P006,Unknown,B006,"[MDA_P006] RM2 concept stores has been gaining prominence and popularity from consumers in Malaysia in recent years, this is especially so during the pandemic period when the current economic outlook is uncertain and consumers are more conscious in their spending. The Group has collaborated with the","[MDA_P006] RM2 concept stores has been gaining prominence and popularity from consumers in Malaysia in recent years, this is especially so during the pandemic period when the current economic outlook is uncertain and consumers are more conscious in their spending. The Group has collaborated with these chain stores and developed a range of products which are sold in their stores. The Group further penetrated the market in the Northern Region by establishing a new distribution centre at Sungai Petani, Kedah. With this expansion, the Group wholesale distribution network is covering 10 states out of the 11 states in Peninsula Malaysia. The Group aims to continue its effort to expand its product range and distribution network geographically, enabling it to reach out for a wider",normalize_whitespace;renumber_paragraph,0,,high
