document_id,stock_code,ticker,year,parts,auditor_tokens,auditor_firm,big4,auditor_method,total_assets_rm000,ta_page,ta_line,profit_rm000,loss_flag,pl_page,pl_line,unit,notes
MDA_2828_CIHLDG_2024,2828,CIHLDG,2024,2828_CIHLDG_2024_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p69,1045634,70,"TOTAL ASSETS 1,045,634 1,216,783 259,293 207,902",123393,0,80,"Profit for the year Total profit for reportable segments 123,393 173,061",RM'000,
MDA_2836_CARLSBG_2020,2836,CARLSBG,2020,2836_CARLSBG_2020_AnnualReport_part1_official.txt,KPMG,PwC,1,majority_vote,636547,,"FILLED from next-year comparative: Total assets 621,471 636,547 705,020 696,943",166185,0,36,Taxation 53.0 51.9 49.8 57.3 63.4 73.2 62.4 74.5 81.8 43.6 Profit for the Financial Year 167.4 193.8 186.6 216.9 220.2 210.6 232.4 286.8 300.4 166.2,RM'000,profit_manual_verified;auditor_inferred_PwC;ta_from_next_year_comparative
MDA_2836_CARLSBG_2021,2836,CARLSBG,2021,2836_CARLSBG_2021_AnnualReport_part1_official.txt|2836_CARLSBG_2021_AnnualReport_part2_official.txt|2836_CARLSBG_2021_AnnualReport_part3_official.txt,PwC,PwC,1,audit_window_p200,621471,121,"Total assets 621,471 636,547 705,020 696,943",204365,0,168,"Revenue 78,447 76,632 Profit for the financial year 6,892 8,173",RM'000,profit_manual_verified
MDA_2836_CARLSBG_2022,2836,CARLSBG,2022,2836_CARLSBG_2022_AnnualReport_part1_official.txt|2836_CARLSBG_2022_AnnualReport_part2_official.txt|2836_CARLSBG_2022_AnnualReport_part3_official.txt,PwC,PwC,1,audit_window_p217,1058190,134,"Total assets 1,058,190 808,329 800,983 814,366 705,020",15950,0,182,"Revenue 134,678 78,447 Profit for the financial year 15,950 6,892",RM'000,
MDA_2836_CARLSBG_2023,2836,CARLSBG,2023,2836_CARLSBG_2023_AnnualReport_part1_official.txt|2836_CARLSBG_2023_AnnualReport_part2_official.txt|2836_CARLSBG_2023_AnnualReport_part3_official.txt|2836_CARLSBG_2023_AnnualReport_part4_official.txt,PwC,PwC,1,audit_window_p217,1017311,143,"Total assets 1,017,311 1,058,190 893,721 814,366",15515,0,184,"Revenue 133,773 134,678 Profit for the financial year 15,515 15,950",RM'000,
MDA_2836_CARLSBG_2024,2836,CARLSBG,2024,2836_CARLSBG_2024_AnnualReport_part1_official.txt|2836_CARLSBG_2024_AnnualReport_part2_official.txt|2836_CARLSBG_2024_AnnualReport_part3_official.txt,PwC,PwC,1,audit_window_p246,1133386,173,"Total assets 1,133,386 1,017,311 1,019,706 893,721",7472,0,213,"Revenue 101,146 133,773 Profit for the financial year 7,472 15,515",RM'000,
MDA_3026_DLADY_2020,3026,DLADY,2020,3026_DLADY_2020_AnnualReport_part1_official.txt|3026_DLADY_2020_AnnualReport_part2_official.txt|3026_DLADY_2020_AnnualReport_part3_official.txt,PwC,PwC,1,audit_window_p160,498845,110,"Total assets		 498,845 443,594",102958,0,112,"At 1 January 2019		 64,000 41,459 105,459 Net profit/Total comprehensive income for the financial year		 - 102,958 102,958",RM'000,
MDA_3026_DLADY_2021,3026,DLADY,2021,3026_DLADY_2021_AnnualReport_part1_official.txt|3026_DLADY_2021_AnnualReport_part2_official.txt,PwC,PwC,1,audit_window_p160,701232,108,"Total assets 701,232 498,845",248000,0,109,"Net profit for the financial year/Total comprehensive income for the financial year 248,000 73,363",RM'000,
MDA_3026_DLADY_2022,3026,DLADY,2022,3026_DLADY_2022_AnnualReport_part1_official.txt|3026_DLADY_2022_AnnualReport_part2_official.txt,PwC,PwC,1,audit_window_p139,844174,90,"Total assets 844,174 701,232",46271,0,91,"Net profit for the financial year/Total comprehensive income for the financial year 46,271 248,000",RM'000,
MDA_3026_DLADY_2023,3026,DLADY,2023,3026_DLADY_2023_AnnualReport_part1_official.txt|3026_DLADY_2023_AnnualReport_part2_official.txt,PwC,PwC,1,audit_window_p208,946876,168,"Total assets 946,876 844,174",72394,0,192,"2023 2022 Net profit for the year (RM'000) 72,394 46,271",RM'000,
