pdf_file,txt_file,status,pages,chars
3255_HEIM_2020_AnnualReport_part2_official.pdf,3255_HEIM_2020_AnnualReport_part2_official.txt,ok,99,387791
3255_HEIM_2021_AnnualReport_part1_official.pdf,3255_HEIM_2021_AnnualReport_part1_official.txt,ok,73,301435
3255_HEIM_2021_AnnualReport_part2_official.pdf,3255_HEIM_2021_AnnualReport_part2_official.txt,ok,77,278303
3255_HEIM_2022_AnnualReport_part1_official.pdf,3255_HEIM_2022_AnnualReport_part1_official.txt,ok,37,121150
3255_HEIM_2022_AnnualReport_part2_official.pdf,3255_HEIM_2022_AnnualReport_part2_official.txt,ok,52,207820
3255_HEIM_2022_AnnualReport_part3_official.pdf,3255_HEIM_2022_AnnualReport_part3_official.txt,ok,98,382562
3255_HEIM_2023_AnnualReport_part1_official.pdf,3255_HEIM_2023_AnnualReport_part1_official.txt,ok,37,111125
3255_HEIM_2023_AnnualReport_part2_official.pdf,3255_HEIM_2023_AnnualReport_part2_official.txt,ok,55,209662
3255_HEIM_2023_AnnualReport_part3_official.pdf,3255_HEIM_2023_AnnualReport_part3_official.txt,ok,93,387221
3255_HEIM_2024_AnnualReport_part1_official.pdf,3255_HEIM_2024_AnnualReport_part1_official.txt,ok,48,141096
3255_HEIM_2024_AnnualReport_part2_official.pdf,3255_HEIM_2024_AnnualReport_part2_official.txt,ok,152,589836
3662_MFLOUR_2020_AnnualReport_part1_official.pdf,3662_MFLOUR_2020_AnnualReport_part1_official.txt,ok,27,62639
3662_MFLOUR_2020_AnnualReport_part2_official.pdf,3662_MFLOUR_2020_AnnualReport_part2_official.txt,ok,31,30
3662_MFLOUR_2020_AnnualReport_part3_official.pdf,3662_MFLOUR_2020_AnnualReport_part3_official.txt,ok,151,445428
3662_MFLOUR_2021_AnnualReport_part1_official.pdf,3662_MFLOUR_2021_AnnualReport_part1_official.txt,ok,27,66615
3662_MFLOUR_2021_AnnualReport_part2_official.pdf,3662_MFLOUR_2021_AnnualReport_part2_official.txt,ok,34,53180
3662_MFLOUR_2021_AnnualReport_part3_official.pdf,3662_MFLOUR_2021_AnnualReport_part3_official.txt,ok,157,476698
3662_MFLOUR_2022_AnnualReport_part1_official.pdf,3662_MFLOUR_2022_AnnualReport_part1_official.txt,ok,27,62193
3662_MFLOUR_2022_AnnualReport_part2_official.pdf,3662_MFLOUR_2022_AnnualReport_part2_official.txt,ok,34,65043
3662_MFLOUR_2022_AnnualReport_part3_official.pdf,3662_MFLOUR_2022_AnnualReport_part3_official.txt,ok,153,469493
3662_MFLOUR_2023_AnnualReport_part1_official.pdf,3662_MFLOUR_2023_AnnualReport_part1_official.txt,ok,30,80766
3662_MFLOUR_2023_AnnualReport_part2_official.pdf,3662_MFLOUR_2023_AnnualReport_part2_official.txt,ok,131,368895
3662_MFLOUR_2024_AnnualReport_part1_official.pdf,3662_MFLOUR_2024_AnnualReport_part1_official.txt,ok,31,80071
3662_MFLOUR_2024_AnnualReport_part2_official.pdf,3662_MFLOUR_2024_AnnualReport_part2_official.txt,ok,29,83780
3662_MFLOUR_2024_AnnualReport_part3_official.pdf,3662_MFLOUR_2024_AnnualReport_part3_official.txt,ok,29,59545
3662_MFLOUR_2024_AnnualReport_part4_official.pdf,3662_MFLOUR_2024_AnnualReport_part4_official.txt,ok,130,355007
3689_FN_2020_AnnualReport_part1_official.pdf,3689_FN_2020_AnnualReport_part1_official.txt,ok,84,280298
3689_FN_2020_AnnualReport_part2_official.pdf,3689_FN_2020_AnnualReport_part2_official.txt,ok,166,769798
3689_FN_2021_AnnualReport_part1_official.pdf,3689_FN_2021_AnnualReport_part1_official.txt,ok,70,203354
3689_FN_2021_AnnualReport_part2_official.pdf,3689_FN_2021_AnnualReport_part2_official.txt,ok,203,775382
3689_FN_2022_AnnualReport_part1_official.pdf,3689_FN_2022_AnnualReport_part1_official.txt,ok,76,229065
3689_FN_2022_AnnualReport_part2_official.pdf,3689_FN_2022_AnnualReport_part2_official.txt,ok,238,936711
3689_FN_2023_AnnualReport_part1_official.pdf,3689_FN_2023_AnnualReport_part1_official.txt,ok,85,200175
3689_FN_2023_AnnualReport_part2_official.pdf,3689_FN_2023_AnnualReport_part2_official.txt,ok,223,830871
4065_PPB_2020_AnnualReport_part1_official.pdf,4065_PPB_2020_AnnualReport_part1_official.txt,ok,10,46912
