document_id,doc_type,ticker,company_name,publish_date,source_name,title,url,article_text_hash,text_length,synthetic_flag,include_flag,relevance_status,confidence_tier,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,original_file,original_file_hash,raw_row_key,text_path,notes
NEWS_PPB_2025_09_25_2ed0f53daf,news,PPB,PPB Group Berhad,2025-09-25,The Star,PPB valuations remain attractive,https://www.thestar.com.my/business/business-news/2025/09/25/ppb-valuations-remain-attractive,a2bd6145ad7524fc7d2f4373cf819708dcd6bedf8531f640746d95e142e72025,2698,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 29}:ded1a0668311",02_extracted_text/news_clean/NEWS_PPB_2025_09_25_2ed0f53daf.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_09_03_38f13f7a40,news,PPB,PPB Group Berhad,2025-09-03,The Star,PPB Group confident Wilmar case will not affect dividend commitment,https://www.thestar.com.my/business/business-news/2025/09/03/ppb-group-confident-wilmar-case-will-not-affect-dividend-commitment,77c70e83eb749caef7064452c5772b80a1e5d1c2354d5223c076c76083d179eb,2757,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 37}:03ea39770176",02_extracted_text/news_clean/NEWS_PPB_2025_09_03_38f13f7a40.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_08_28_07d20392fa,news,PPB,PPB Group Berhad,2025-08-28,The Star,PPB banks on grain for stability,https://www.thestar.com.my/business/business-news/2025/08/28/ppb-banks-on-grain-for-stability,c2344751b9dc21afff2bc548ed3fbde9801dedbcb94616c82d2ec0c0b192bb50,979,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 39}:5ef40d398d61",02_extracted_text/news_clean/NEWS_PPB_2025_08_28_07d20392fa.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_08_27_2d730571a9,news,PPB,PPB Group Berhad,2025-08-27,The Star,PPB records lower net profit in 2Q25,https://www.thestar.com.my/business/business-news/2025/08/27/ppb-records-lower-net-profit-in-2q25,606b545642e05236fd65c8f0053b010e677114942ac175eb8a04580cad7581fe,989,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 40}:d477c4a257b3",02_extracted_text/news_clean/NEWS_PPB_2025_08_27_2d730571a9.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_08_08_9f5b2b8a71,news,PPB,PPB Group Berhad,2025-08-08,The Star,KLCI edges higher at midday on selective buying in heavyweights,https://www.thestar.com.my/business/business-news/2025/08/08/klci-edges-higher-at-midday-on-selective-buying-in-heavyweights,a1760cdfdf4e5ca2bbfa2535229d4a3824a79048deb412169cef6e1780640a38,2323,false,Yes,low_confidence_company_news,low,Yes,sponsor_list_or_csr_only,1,1,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 49}:10964f7176f4",02_extracted_text/news_clean/NEWS_PPB_2025_08_08_9f5b2b8a71.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_06_19_a37ef2f9bf,news,PPB,PPB Group Berhad,2025-06-19,The Star,PPB risk premium higher amid legal case in Indonesia,https://www.thestar.com.my/business/business-news/2025/06/19/ppb-risk-premium-higher-amid-legal-case-in-indonesia,0a6d40cbf5d34e6260ffbd52f497917d5dcad02942f300a8a71bc0f95153d05e,1809,false,Yes,low_confidence_company_news,low,Yes,ticker_only_title_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 60}:b297a4496440",02_extracted_text/news_clean/NEWS_PPB_2025_06_19_a37ef2f9bf.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_05_29_e6341f2fd8,news,PPB,PPB Group Berhad,2025-05-29,The Star,PPB posts higher net profit in 1Q,https://www.thestar.com.my/business/business-news/2025/05/29/ppb-posts-higher-net-profit-in-1q,c1fd1406f2439267cb34a91e613bbc76a805a18f4bc4d0f6943d36c49fd41d99,714,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 63}:8573ca62fe23",02_extracted_text/news_clean/NEWS_PPB_2025_05_29_e6341f2fd8.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_03_06_130c19688a,news,PPB,PPB Group Berhad,2025-03-06,The Star,PPB Group expects sound performance in 2025,https://www.thestar.com.my/business/business-news/2025/03/06/ppb-group-expects-sound-performance-in-2025,d0a2d850b3a9e090711b215abc108d8d2d62a9d28d409ae91736fd7c8c2cb07a,1850,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 75}:2b91a492ea2e",02_extracted_text/news_clean/NEWS_PPB_2025_03_06_130c19688a.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_03_05_270cb8e52d,news,PPB,PPB Group Berhad,2025-03-05,The Star,PPB Group expects core business to continue delivering satisfactory performance in 2025,https://www.thestar.com.my/business/business-news/2025/03/05/ppb-group-expects-core-business-to-continue-delivering-satisfactory-performance-in-2025,0b1d9370d9152cda39f70a2fb4ab39cb7c251a04d94887a5785913f5c27b9fc8,2168,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 76}:e28004847d26",02_extracted_text/news_clean/NEWS_PPB_2025_03_05_270cb8e52d.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2025_02_12_81559aea86,news,PPB,PPB Group Berhad,2025-02-12,The Star,Wilmar’s latest acquisition to bolster earnings,https://www.thestar.com.my/business/business-news/2025/02/12/wilmars-latest-acquisition-to-bolster-earnings,dcf53b97de50f9bd686352a51f959d1597d748c8ab503e76af96a47386cd018f,3569,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 83}:40b75dcdb03f",02_extracted_text/news_clean/NEWS_PPB_2025_02_12_81559aea86.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
