document_id,ticker,company_name,title,source_name,publish_date,url,text_length,alias_hits,strong_alias_hits,medium_alias_hits,weak_alias_hits,relevance_status,relevance_reason,include_flag,exclude_reason,confidence_tier,main_model_include_flag,broad_include_flag,strict_company_focus_flag,high_confidence_include_flag,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,raw_article_hash,raw_row_key,filter_mode,filter_version,original_file,original_file_hash
NEWS_CANDIDATE_069387_050a3f8b,OFI,Oriental Food Industries Holdings Berhad,"Profit-taking in the market, KLCI down 0.14%",The Star,2024-04-25,https://www.thestar.com.my/business/business-news/2024/04/25/profit-taking-in-the-market-klci-down-014,1390,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,8e6d8ae70e40cc2d66707ef07b32580c4feb737e63ff6d588b6f3e9fcda718cd,"New_news_OFI_OFI_news_csv:{""row_number"": 10498}:9a17ee8d134c",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069404_ec7fd508,OFI,Oriental Food Industries Holdings Berhad,Home repairs for Orang Asli,The Star,2024-04-23,https://www.thestar.com.my/metro/metro-news/2024/04/23/home-repairs-for-orang-asli,3195,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,547aaccad6a1e6f6fca2e516999d3b78fbe1a5708082497488f0a4446257715e,"New_news_OFI_OFI_news_csv:{""row_number"": 10515}:f4bd38332ff7",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069479_853f73d4,OFI,Oriental Food Industries Holdings Berhad,Sea of red on Bursa amid missile attacks in Middle East,The Star,2024-04-17,https://www.thestar.com.my/business/business-news/2024/04/17/sea-of-red-on-bursa-amid-missile-attacks-in-middle-east,1627,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,089400e740210ea5779d26cb918262712cf95a2f7dfb03d0f80ee65a90321e9e,"New_news_OFI_OFI_news_csv:{""row_number"": 10590}:9d12d586098a",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069482_be913879,OFI,Oriental Food Industries Holdings Berhad,"Bursa Malaysia continues downtrend with over 1,000 counters in red",The Star,2024-04-16,https://www.thestar.com.my/business/business-news/2024/04/16/bursa-malaysia-continues-downtrend-with-over-1000-counters-in-red,1698,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,588c8c33935af21bedf60c1ebcb7c2dbf5ec0031af54009bb2be9338ca60a802,"New_news_OFI_OFI_news_csv:{""row_number"": 10593}:9604c531c3f0",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069603_bceef59f,OFI,Oriental Food Industries Holdings Berhad,FBM KLCI enters lunch break in positive territory,The Star,2024-04-08,https://www.thestar.com.my/business/business-news/2024/04/08/fbm-klci-enters-lunch-break-in-positive-territory,1201,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,776e90c6c776c0a7e61d60d43b1c91e07db9d8b45dce98b5175fcabd65b60371,"New_news_OFI_OFI_news_csv:{""row_number"": 10714}:38ac3bb3f026",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069615_15a965bb,OFI,Oriental Food Industries Holdings Berhad,Bursa Malaysia dips ahead of Raya holiday,The Star,2024-04-09,https://www.thestar.com.my/business/business-news/2024/04/09/bursa-malaysia-dips-ahead-of-raya-holiday,1917,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,0e8c13643f190375ff4b4e3e76dc899905dee7112649a258f6c9380d1ab813fb,"New_news_OFI_OFI_news_csv:{""row_number"": 10726}:d246cd818c40",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069682_1d8e3309,OFI,Oriental Food Industries Holdings Berhad,MSM on track for sweeter bottom line,The Star,2024-04-04,https://www.thestar.com.my/business/business-news/2024/04/04/msm-on-track-for-sweeter-bottom-line,3637,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,6b0fd7227a06a34c0c9eba469467a64987380cae53f0845313c8bbcd830e55df,"New_news_OFI_OFI_news_csv:{""row_number"": 10793}:d844f21982ef",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069704_08d74866,OFI,Oriental Food Industries Holdings Berhad,FBM KLCI rallies after slow start,The Star,2024-04-02,https://www.thestar.com.my/business/business-news/2024/04/02/fbm-klci-rallies-after-slow-start,1042,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,d693efdbac8be1308f44c11736e650cc7b2750cdc50f180e7cb16150202aa4bf,"New_news_OFI_OFI_news_csv:{""row_number"": 10815}:0b0373406cea",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069706_b5f58031,OFI,Oriental Food Industries Holdings Berhad,FBM KLCI sees mild pull back as upbeat sentiment takes a breather,The Star,2024-04-02,https://www.thestar.com.my/business/business-news/2024/04/02/fbm-klci-sees-mild-pull-back-as-upbeat-sentiment-takes-a-breather,2003,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,de5cbfb8b494771fc5f2d7a31be510c16fa333816a1b49ccb9ceabfe0111787e,"New_news_OFI_OFI_news_csv:{""row_number"": 10817}:687765cb623b",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
NEWS_CANDIDATE_069839_a22530d5,OFI,Oriental Food Industries Holdings Berhad,Subdued consumer sentiment likely to persist,The Star,2024-03-26,https://www.thestar.com.my/business/business-news/2024/03/26/subdued-consumer-sentiment-likely-to-persist,2737,,,,,wrong_company,"Another target company's strong alias appears, but the row ticker's target alias does not.",No,wrong_company,none,No,No,No,No,Yes,wrong_company,1,0,055ebe91815f07f8972bb885b5035f5a46fe42d785819d6054aa4d09006b6a5c,"New_news_OFI_OFI_news_csv:{""row_number"": 10950}:a0f37290887e",manual_preserve,manual_preserve_v1,New_news/OFI/OFI_news.csv,c266423998389ceb59ce49715045f90b1d181f07327dbdac876a7fc9df14e53c
