document_id,ticker,company_name,title,source_name,publish_date,url,relevance_status,confidence_tier,main_model_include_flag,company_focus_status,suspect_not_company_focused,company_focus_reason,strict_main_sample_include,title_focus_alias_hits,lead_focus_alias_hits,filter_mode,filter_version
NEWS_MSM_2024_08_29_999c6cd4ed,MSM,MSM Malaysia Holdings Berhad,FGV on track for a better 2H on rising production,The Star,2024-08-29,https://www.thestar.com.my/business/business-news/2024/08/29/fgv-on-track-for-a-better-2h-on-rising-production,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_MSM_2024_04_03_a72ab8d0fd,MSM,MSM Malaysia Holdings Berhad,FGV targets submission of petition to US customs by end-June,The Star,2024-04-03,https://www.thestar.com.my/business/business-news/2024/04/03/fgv-targets-submission-of-petition-to-us-customs-by-end-june,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_11_25_55cdacd864,NESTLE,Nestle Malaysia Berhad,"Selangor to expand door-to-door recycling initiative to 11 of 12 local authorities by year end, says MB",The Star,2025-11-25,https://www.thestar.com.my/metro/metro-news/2025/11/25/selangor-to-expand-door-to-door-recycling-initiative-to-11-of-12-local-authorities-by-year-end-says-mb,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_11_21_f9fe7d9520,NESTLE,Nestle Malaysia Berhad,"‘410,000 Selangor households now recycling’",The Star,2025-11-21,https://www.thestar.com.my/metro/metro-news/2025/11/21/410000-selangor-households-now-recycling,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_11_20_7f6948a262,NESTLE,Nestle Malaysia Berhad,Pay-As-You-Throw policy proposed to reduce waste,The Star,2025-11-20,https://www.thestar.com.my/metro/metro-news/2025/11/20/pay-as-you-throw-policy-proposed-to-reduce-waste,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_11_12_7fc6fe46e9,NESTLE,Nestle Malaysia Berhad,"Volunteers pack 5,500 aid boxes for flood relief",The Star,2025-11-12,https://www.thestar.com.my/metro/metro-news/2025/11/12/volunteers-pack-5500-aid-boxes-for-flood-relief,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_10_30_ab42e593ff,NESTLE,Nestle Malaysia Berhad,"Improving sales, lower costs to bolster Nestle",The Star,2025-10-30,https://www.thestar.com.my/business/business-news/2025/10/30/improving-sales-lower-costs-to-bolster-nestle,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,Nestle,Nestle|Nestle Malaysia|Nestlé,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_10_31_53e61dd023,NESTLE,Nestle Malaysia Berhad,Company to nurture 20 women food entrepreneurs,The Star,2025-10-31,https://www.thestar.com.my/metro/metro-news/2025/10/31/company-to-nurture-20-women-food-entrepreneurs,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_10_29_478d148c2e,NESTLE,Nestle Malaysia Berhad,Subang Jaya cleanup bags 10 tonnes of waste,The Star,2025-10-29,https://www.thestar.com.my/metro/metro-news/2025/10/29/subang-jaya-cleanup-bags-10-tonnes-of-waste,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_04_30_4dc7cd12a3,NESTLE,Nestle Malaysia Berhad,Strong domestic sales to bolster Nestle Malaysia,The Star,2025-04-30,https://www.thestar.com.my/business/business-news/2025/04/30/strong-domestic-sales-to-bolster-nestle-malaysia,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,Nestle|Nestle Malaysia,Nestle,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_04_26_6d8b03d4d8,NESTLE,Nestle Malaysia Berhad,"Recycling project expands to Subang Jaya, Sepang",The Star,2025-04-26,https://www.thestar.com.my/metro/metro-news/2025/04/26/recycling-project-expands-to-subang-jaya-sepang,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_04_18_3593658a86,NESTLE,Nestle Malaysia Berhad,MSPO to launch Impact Alliance platform by 3Q to boost certification value - Johari Ghani,The Star,2025-04-18,https://www.thestar.com.my/business/business-news/2025/04/18/mspo-to-launch-impact-alliance-platform-by-3q-to-boost-certification-value---johari-ghani,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2025_01_03_d3d67cede6,NESTLE,Nestle Malaysia Berhad,Planting seeds of change among Sabah’s children,The Star,2025-01-03,https://www.thestar.com.my/metro/metro-news/2025/01/03/planting-seeds-of-change-among-sabahs-children,high_confidence_company_news,high,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2024_12_04_8d581af215,NESTLE,Nestle Malaysia Berhad,"5,000 boxes of food aid head east",The Star,2024-12-04,https://www.thestar.com.my/metro/metro-news/2024/12/04/5000-boxes-of-food-aid-head-east,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
