document_id,ticker,company_name,title,source_name,publish_date,url,relevance_status,confidence_tier,main_model_include_flag,company_focus_status,suspect_not_company_focused,company_focus_reason,strict_main_sample_include,title_focus_alias_hits,lead_focus_alias_hits,filter_mode,filter_version
NEWS_KAWAN_2024_08_22_df0cfefb2c,KAWAN,Kawan Food,Kawan benefitting from strong foreign demand,The Star,2024-08-22,https://www.thestar.com.my/business/business-news/2024/08/22/kawan-benefitting-from-strong-foreign-demand,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,Kawan Food,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_11_28_908d08456a,MSM,MSM Malaysia Holdings Berhad,MSM Malaysia says low raw sugar prices bolster 2026 prospects,The Star,2025-11-28,https://www.thestar.com.my/business/business-news/2025/11/28/msm-malaysia-says-low-raw-sugar-prices-bolster-2026-prospects,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,MSM Malaysia,MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_09_18_bba3204f63,MSM,MSM Malaysia Holdings Berhad,Felda: Abolish permits for refined sugar,The Star,2025-09-18,https://www.thestar.com.my/news/nation/2025/09/18/felda-abolish-permits-for-refined-sugar,low_confidence_company_news,low,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,MSM Malaysia Holdings Berhad|MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_07_03_50b881c980,MSM,MSM Malaysia Holdings Berhad,MSM appoints new acting group CEO,The Star,2025-07-03,https://www.thestar.com.my/business/business-news/2025/07/03/msm-appoints-new-acting-group-ceo,low_confidence_company_news,low,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_06_20_60bfc7df84,MSM,MSM Malaysia Holdings Berhad,"Refined sugar to stay tax-exempt, says Finance Ministry",The Star,2025-06-20,https://www.thestar.com.my/news/nation/2025/06/20/refined-sugar-to-stay-tax-exempt-says-finance-ministry,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,MSM Malaysia Holdings Berhad|MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_06_20_ee796bcae3,MSM,MSM Malaysia Holdings Berhad,MSM Malaysia aims to increase export volumes,The Star,2025-06-20,https://www.thestar.com.my/business/business-news/2025/06/20/msm-malaysia-aims-to-increase-export-volumes,high_confidence_company_news,high,Yes,company_focused,No,title_alias_with_company_operating_context,Yes,MSM Malaysia,MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_06_19_1ebde10200,MSM,MSM Malaysia Holdings Berhad,MSM reiterates call for tariff to curb dumping of imported sugar,The Star,2025-06-19,https://www.thestar.com.my/business/business-news/2025/06/19/msm-reiterates-call-for-tariff-to-curb-dumping-of-imported-sugar,low_confidence_company_news,low,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2025_03_20_3508a07a0e,MSM,MSM Malaysia Holdings Berhad,"MSM plans Tg Langsat as sugar export hub, eyes new markets",The Star,2025-03-20,https://www.thestar.com.my/business/business-news/2025/03/20/msm-plans-tg-langsat-as-sugar-export-hub-eyes-new-markets,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2024_08_23_14b0cd98e7,MSM,MSM Malaysia Holdings Berhad,MSM to strengthen domestic sales,The Star,2024-08-23,https://www.thestar.com.my/business/business-news/2024/08/23/msm-to-strengthen-domestic-sales,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,MSM Malaysia,manual_preserve,manual_preserve_v1
NEWS_MSM_2024_08_22_7db1515566,MSM,MSM Malaysia Holdings Berhad,MSM posts bigger loss in 2Q,The Star,2024-08-22,https://www.thestar.com.my/business/business-news/2024/08/22/msm-posts-bigger-loss-in-2q,high_confidence_company_news,high,Yes,company_focused,No,lead_alias_with_company_operating_context,Yes,,MSM Malaysia,manual_preserve,manual_preserve_v1
