document_id,doc_type,include_flag,stock_code,ticker,company_name,report_year,extraction_status,text_path,source_path,source_file_sha256,notes
MDA_2658_AJI_2020,mda,Yes,2658,AJI,Ajinomoto,2020,success,02_extracted_text/mda/MDA_2658_AJI_2020.txt,01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2020/2658_AJI_AR_2020.pdf,2658_AJI_AR_2020.pdf:cb0bfacd6b5519d68d50ad7e2ff29100846f7217c564be1418d2df2dcbd5894e,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=8343
MDA_2658_AJI_2021,mda,Yes,2658,AJI,Ajinomoto,2021,success,02_extracted_text/mda/MDA_2658_AJI_2021.txt,01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2021/2658_AJI_AR_2021_part1.pdf; 01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2021/2658_AJI_AR_2021_part2.pdf,2658_AJI_AR_2021_part1.pdf:2edc101bbfc768b54852033c4c48c02a324de47c36c5c3b0ae2858d4ded585ca; 2658_AJI_AR_2021_part2.pdf:84721e6d7510b969396889999913b87db744d4f7999cc092cc2cd19ed3f0f49d,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=7992
MDA_2658_AJI_2022,mda,Yes,2658,AJI,Ajinomoto,2022,success,02_extracted_text/mda/MDA_2658_AJI_2022.txt,01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2022/2658_AJI_AR_2022_part1.pdf; 01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2022/2658_AJI_AR_2022_part2.pdf,2658_AJI_AR_2022_part1.pdf:7bc477499ece91a66cb0b0cdd70081272d1b97e1797ca1c49ea468270486098e; 2658_AJI_AR_2022_part2.pdf:5c6debe8e6d97d259b0e2fd858d0285835b0175d0d8f737676507fdd75d1cf7c,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=9898
MDA_2658_AJI_2023,mda,Yes,2658,AJI,Ajinomoto,2023,success,02_extracted_text/mda/MDA_2658_AJI_2023.txt,01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2023/2658_AJI_AR_2023_part1.pdf; 01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2023/2658_AJI_AR_2023_part2.pdf,2658_AJI_AR_2023_part1.pdf:ad15d5b2846607f5717dd388a971b130a524ba62ce776e5d07c5c7c070d63dd5; 2658_AJI_AR_2023_part2.pdf:8ee007f5e1cb0c7cc894bf3658afeabc8cdb0d28b1c8c58a9d1d7dccd7ed51d3,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=28103.0
MDA_2658_AJI_2024,mda,Yes,2658,AJI,Ajinomoto,2024,success,02_extracted_text/mda/MDA_2658_AJI_2024.txt,01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2024/2658_AJI_AR_2024_part1.pdf; 01_raw_annual_reports/2658_AJI_AJINOMOTO_MALAYSIA_BERHAD/2024/2658_AJI_AR_2024_part2.pdf,2658_AJI_AR_2024_part1.pdf:6cebcfbeda3e7198c276da79383a29e8eb19b32ce4e0069073dfd837ea0aff9f; 2658_AJI_AR_2024_part2.pdf:d8b42482905b548d5d17e5b1bd8787e60ea26f26d19eda454c22cb4db8870729,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=24017
MDA_2828_CIHLDG_2020,mda,Yes,2828,CIHLDG,CIHB,2020,success,02_extracted_text/mda/MDA_2828_CIHLDG_2020.txt,01_raw_annual_reports/2828_CIHLDG_C_I_HOLDINGS_BERHAD/2020/2828_CIHLDG_AR_2020.pdf,2828_CIHLDG_AR_2020.pdf:3322a32ba031e1c7d70b44799e519c656e64f548691dd6e658c0c4f1d1f946df,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=14818
MDA_2828_CIHLDG_2021,mda,Yes,2828,CIHLDG,CIHB,2021,success,02_extracted_text/mda/MDA_2828_CIHLDG_2021.txt,01_raw_annual_reports/2828_CIHLDG_C_I_HOLDINGS_BERHAD/2021/2828_CIHLDG_AR_2021.pdf,2828_CIHLDG_AR_2021.pdf:12d08cbc5ff170c15cae554d8a03fd36691d6f99c58835632823e017215511f7,detected_heading=Management Discussion And Analysis; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=11694
MDA_2828_CIHLDG_2022,mda,Yes,2828,CIHLDG,CIHB,2022,success,02_extracted_text/mda/MDA_2828_CIHLDG_2022.txt,01_raw_annual_reports/2828_CIHLDG_C_I_HOLDINGS_BERHAD/2022/2828_CIHLDG_AR_2022.pdf,2828_CIHLDG_AR_2022.pdf:9a831122cb62bace026330003fb32123a1bdfd409411320f40072ae2f90c2c86,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=15342
MDA_2828_CIHLDG_2023,mda,Yes,2828,CIHLDG,CIHB,2023,success,02_extracted_text/mda/MDA_2828_CIHLDG_2023.txt,01_raw_annual_reports/2828_CIHLDG_C_I_HOLDINGS_BERHAD/2023/2828_CIHLDG_AR_2023.pdf,2828_CIHLDG_AR_2023.pdf:d6cf66652499baef46fb1e5ea50dd78fa68cdab30d94b647ddbbfb59b7fbe5d5,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=15056
MDA_2828_CIHLDG_2024,mda,Yes,2828,CIHLDG,CIHB,2024,success,02_extracted_text/mda/MDA_2828_CIHLDG_2024.txt,01_raw_annual_reports/2828_CIHLDG_C_I_HOLDINGS_BERHAD/2024/2828_CIHLDG_AR_2024.pdf,2828_CIHLDG_AR_2024.pdf:bfdb105cd8f9fc8a72b82497591a6516b1eb219d09f339d9a2373ef324bada5a,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=27000.0
